state_code,date_month,seasonal_period,theft_rate_percent,christmas_theft_multiplier,vandalism_incidents,traffic_congestion_index,weather_disruption_index,risk_zone_score
AL,2023-02-01,Normal,0.94,1.0,20,37.2,15.3,27.2
AL,2023-03-01,Normal,1.33,1.0,79,53.2,26.7,41.3
AL,2023-04-01,Normal,1.2,1.0,46,38.6,11.5,26.2
AL,2023-05-01,Normal,0.81,1.0,60,48.6,24.8,37.5
AL,2023-06-01,Normal,1.33,1.0,23,54.0,29.3,43.0
AL,2023-07-01,Normal,1.3,1.0,50,41.6,29.9,37.0
AL,2023-08-01,Normal,0.89,1.0,15,31.4,28.5,30.8
AL,2023-09-01,Normal,0.79,1.0,53,46.1,27.4,37.5
AL,2023-10-01,Normal,1.18,1.0,24,59.9,15.6,38.9
AL,2023-11-01,Normal,0.64,1.0,73,59.1,29.3,44.8
AL,2023-12-01,Pre_Christmas,0.84,1.84,16,43.1,28.6,37.4
AL,2024-01-01,Post_Christmas,1.29,1.0,58,40.3,20.7,31.8
AL,2024-02-01,Normal,1.16,1.0,44,34.8,18.0,27.6
AL,2024-03-01,Normal,1.21,1.0,77,50.0,12.2,32.3
AL,2024-04-01,Normal,1.28,1.0,55,45.0,21.8,34.7
AL,2024-05-01,Normal,0.96,1.0,36,46.2,24.0,36.1
AL,2024-06-01,Normal,1.07,1.0,16,54.8,18.1,37.5
AL,2024-07-01,Normal,0.64,1.0,51,40.1,18.1,29.7
AL,2024-08-01,Normal,0.61,1.0,40,50.0,21.5,36.4
AL,2024-09-01,Normal,1.17,1.0,13,41.0,10.6,27.0
AL,2024-10-01,Normal,0.97,1.0,50,31.3,29.2,31.2
AL,2024-11-01,Normal,1.07,1.0,24,41.3,15.8,29.6
AL,2024-12-01,Pre_Christmas,1.68,1.53,34,67.2,12.8,42.6
AL,2025-01-01,Post_Christmas,1.05,1.0,25,33.2,10.1,22.7
AL,2025-02-01,Normal,1.06,1.0,15,50.6,27.1,39.9
AL,2025-03-01,Normal,0.8,1.0,40,58.9,27.3,43.9
AL,2025-04-01,Normal,0.53,1.0,25,57.2,11.9,35.1
AL,2025-05-01,Normal,0.94,1.0,19,47.2,13.0,31.0
AL,2025-06-01,Normal,0.71,1.0,42,41.3,19.0,30.9
AL,2025-07-01,Normal,0.91,1.0,14,47.4,13.7,31.5
AL,2025-08-01,Normal,1.35,1.0,79,54.5,24.7,41.0
AL,2025-09-01,Normal,0.73,1.0,42,55.8,11.2,34.2
AK,2020-01-01,Post_Christmas,0.56,1.0,79,54.6,46.5,51.1
AK,2020-02-01,Normal,0.78,1.0,71,43.7,41.5,43.4
AK,2020-03-01,Normal,0.79,1.0,78,33.6,43.9,39.5
AK,2020-04-01,Normal,1.16,1.0,47,47.1,42.7,46.1
AK,2020-05-01,Normal,1.06,1.0,39,34.7,34.6,35.7
AK,2020-06-01,Normal,1.28,1.0,60,31.8,36.6,35.5
AK,2020-07-01,Normal,1.16,1.0,15,45.0,31.9,39.6
AK,2020-08-01,Normal,0.91,1.0,68,49.7,33.5,42.5
AK,2020-09-01,Normal,1.31,1.0,32,55.6,59.3,58.8
AK,2020-10-01,Normal,0.67,1.0,10,53.5,38.4,46.6
AK,2020-11-01,Normal,0.52,1.0,26,55.7,39.2,48.0
AK,2020-12-01,Pre_Christmas,0.79,1.58,31,61.8,33.8,49.0
AK,2021-01-01,Post_Christmas,0.96,1.0,10,30.3,52.7,42.5
AK,2021-02-01,Normal,0.66,1.0,69,48.8,57.7,53.9
AK,2021-03-01,Normal,1.0,1.0,41,33.6,53.7,44.7
AK,2021-04-01,Normal,0.65,1.0,60,31.8,48.4,40.8
AK,2021-05-01,Normal,1.2,1.0,33,34.7,54.4,45.8
AK,2021-06-01,Normal,0.95,1.0,19,54.7,42.1,49.4
AK,2021-07-01,Normal,0.88,1.0,22,52.3,55.8,54.9
AK,2021-08-01,Normal,0.8,1.0,55,58.5,54.0,57.0
AK,2021-09-01,Normal,1.13,1.0,60,59.4,30.1,45.9
AK,2021-10-01,Normal,0.86,1.0,28,56.8,44.6,51.6
AK,2021-11-01,Normal,0.59,1.0,34,34.0,37.9,36.5
AK,2021-12-01,Pre_Christmas,0.86,1.67,96,66.7,32.6,51.1
AK,2022-01-01,Post_Christmas,1.41,1.0,69,56.1,55.4,57.2
AK,2022-02-01,Normal,1.2,1.0,31,34.6,30.2,33.6
AK,2022-03-01,Normal,0.77,1.0,47,33.5,51.9,43.5
AK,2022-04-01,Normal,1.47,1.0,49,57.7,59.6,60.1
AK,2022-05-01,Normal,1.28,1.0,22,35.2,44.5,41.1
AK,2022-06-01,Normal,1.22,1.0,14,41.1,41.1,42.3
AK,2022-07-01,Normal,0.95,1.0,44,43.7,48.2,46.9
AK,2022-08-01,Normal,0.77,1.0,65,33.7,54.1,44.7
AK,2022-09-01,Normal,0.6,1.0,20,30.6,37.2,34.5
AK,2022-10-01,Normal,1.4,1.0,38,59.8,37.5,50.0
AK,2022-11-01,Normal,0.96,1.0,21,56.3,48.2,53.2
AK,2022-12-01,Pre_Christmas,0.89,1.84,33,64.7,58.2,63.1
AK,2023-01-01,Post_Christmas,1.08,1.0,52,36.6,39.0,38.9
AK,2023-02-01,Normal,0.68,1.0,79,42.8,41.3,42.7
AK,2023-03-01,Normal,1.36,1.0,22,43.6,59.8,53.1
AK,2023-04-01,Normal,1.26,1.0,23,30.2,35.3,34.0
AK,2023-05-01,Normal,1.22,1.0,75,53.4,32.3,44.1
AK,2023-06-01,Normal,0.93,1.0,48,59.9,47.7,54.7
AK,2023-07-01,Normal,1.13,1.0,13,45.9,30.7,39.4
AK,2023-08-01,Normal,1.08,1.0,39,41.6,35.4,39.6
AK,2023-09-01,Normal,1.15,1.0,49,41.8,48.7,46.4
AK,2023-10-01,Normal,0.58,1.0,27,32.9,49.8,41.9
AK,2023-11-01,Normal,0.92,1.0,48,38.0,45.3,42.6
AK,2023-12-01,Pre_Christmas,0.7,1.72,73,51.5,41.5,47.7
AK,2024-01-01,Post_Christmas,0.83,1.0,27,46.4,47.3,47.7
AK,2024-02-01,Normal,0.64,1.0,77,55.5,49.3,53.0
AK,2024-03-01,Normal,0.6,1.0,16,36.8,54.1,46.0
AK,2024-04-01,Normal,1.09,1.0,32,30.8,53.8,43.4
AK,2024-05-01,Normal,0.67,1.0,60,31.1,49.9,41.2
AK,2024-06-01,Normal,1.43,1.0,72,34.0,56.8,46.8
AK,2024-07-01,Normal,1.08,1.0,25,47.1,55.1,52.2
AK,2024-08-01,Normal,0.85,1.0,78,54.2,34.0,45.0
AK,2024-09-01,Normal,1.09,1.0,23,56.6,58.7,58.7
AK,2024-10-01,Normal,0.52,1.0,39,49.1,56.8,53.5
AK,2024-11-01,Normal,1.46,1.0,32,42.1,39.6,42.3
AK,2024-12-01,Pre_Christmas,1.33,1.87,56,39.5,30.6,37.5
AK,2025-01-01,Post_Christmas,0.58,1.0,73,40.0,48.1,44.6
AK,2025-02-01,Normal,0.99,1.0,27,56.1,43.2,50.6
AK,2025-03-01,Normal,0.99,1.0,76,44.6,52.5,49.5
AK,2025-04-01,Normal,1.44,1.0,40,36.8,45.7,42.7
AK,2025-05-01,Normal,1.07,1.0,55,38.7,32.3,36.6
AK,2025-06-01,Normal,0.97,1.0,58,34.1,37.3,36.7
AK,2025-07-01,Normal,0.77,1.0,56,57.6,56.5,57.8
AK,2025-08-01,Normal,0.83,1.0,52,31.5,31.1,32.1
AK,2025-09-01,Normal,1.02,1.0,43,30.4,52.1,42.3
AZ,2020-01-01,Post_Christmas,0.94,1.0,55,35.5,15.8,26.6
AZ,2020-02-01,Normal,0.52,1.0,73,54.3,19.1,37.2
AZ,2020-03-01,Normal,1.33,1.0,37,45.7,20.6,34.5
AZ,2020-04-01,Normal,1.4,1.0,45,48.8,15.0,33.3
AZ,2020-05-01,Normal,0.64,1.0,22,40.7,23.0,32.5
AZ,2020-06-01,Normal,1.05,1.0,34,32.1,23.9,29.1
AZ,2020-07-01,Normal,0.61,1.0,64,55.7,11.7,34.3
AZ,2020-08-01,Normal,1.17,1.0,54,35.8,17.5,27.8
AZ,2020-09-01,Normal,0.78,1.0,24,31.0,24.9,28.7
AZ,2020-10-01,Normal,1.16,1.0,48,47.2,24.4,37.0
AZ,2020-11-01,Normal,1.23,1.0,66,32.5,20.9,27.9
AZ,2020-12-01,Pre_Christmas,1.55,1.93,23,38.8,25.6,35.2
AZ,2021-01-01,Post_Christmas,1.42,1.0,55,44.7,12.2,29.9
AZ,2021-02-01,Normal,0.73,1.0,31,37.2,12.4,25.5
AZ,2021-03-01,Normal,0.54,1.0,67,40.5,23.1,32.3
AZ,2021-04-01,Normal,1.05,1.0,69,51.9,23.9,39.0
AZ,2021-05-01,Normal,0.87,1.0,47,32.0,26.3,30.0
AZ,2021-06-01,Normal,1.33,1.0,36,33.5,13.6,24.9
AZ,2021-07-01,Normal,1.31,1.0,12,48.5,20.3,35.7
AZ,2021-08-01,Normal,0.82,1.0,67,48.2,23.2,36.5
AZ,2021-09-01,Normal,1.45,1.0,72,59.2,14.5,38.3
AZ,2021-10-01,Normal,0.79,1.0,40,41.2,20.3,31.5
AZ,2021-11-01,Normal,1.02,1.0,46,32.0,22.8,28.4
AZ,2021-12-01,Pre_Christmas,1.05,1.88,76,53.7,14.3,36.0
AZ,2022-01-01,Post_Christmas,0.66,1.0,57,34.2,17.5,26.5
AZ,2022-02-01,Normal,0.54,1.0,74,46.6,14.3,31.0
AZ,2022-03-01,Normal,0.94,1.0,62,35.9,28.1,32.9
AZ,2022-04-01,Normal,1.49,1.0,43,55.3,14.7,36.5
AZ,2022-05-01,Normal,1.39,1.0,46,55.1,12.4,35.1
AZ,2022-06-01,Normal,1.25,1.0,28,42.9,10.7,28.0
AZ,2022-07-01,Normal,1.39,1.0,56,59.0,10.9,36.3
AZ,2022-08-01,Normal,1.39,1.0,26,59.4,13.8,38.0
AZ,2022-09-01,Normal,1.02,1.0,33,33.9,22.2,29.1
AZ,2022-10-01,Normal,0.82,1.0,28,41.0,10.4,26.5
AZ,2022-11-01,Normal,1.27,1.0,33,48.0,15.7,33.1
AZ,2022-12-01,Pre_Christmas,1.48,2.0,49,37.0,11.2,27.1
AZ,2023-01-01,Post_Christmas,0.59,1.0,40,37.8,18.1,28.5
AZ,2023-02-01,Normal,1.25,1.0,76,58.6,11.0,36.0
AZ,2023-03-01,Normal,0.76,1.0,22,42.3,22.2,33.0
AZ,2023-04-01,Normal,1.44,1.0,56,52.9,23.8,39.8
AZ,2023-05-01,Normal,0.74,1.0,22,41.6,24.6,33.8
AZ,2023-06-01,Normal,0.62,1.0,48,34.0,14.5,24.9
AZ,2023-07-01,Normal,1.33,1.0,44,55.9,27.4,43.0
AZ,2023-08-01,Normal,0.65,1.0,41,30.0,23.8,27.6
AZ,2023-09-01,Normal,0.68,1.0,55,31.7,11.1,22.1
AZ,2023-10-01,Normal,1.1,1.0,67,40.9,18.8,31.0
AZ,2023-11-01,Normal,1.37,1.0,32,50.6,25.4,39.4
AZ,2023-12-01,Pre_Christmas,0.88,1.88,88,44.5,16.2,32.0
AZ,2024-01-01,Post_Christmas,1.28,1.0,31,39.5,17.6,29.8
AZ,2024-02-01,Normal,1.47,1.0,76,37.3,22.6,31.4
AZ,2024-03-01,Normal,1.0,1.0,18,30.2,11.1,21.7
AZ,2024-04-01,Normal,0.64,1.0,37,46.0,29.3,38.3
AZ,2024-05-01,Normal,0.51,1.0,39,33.5,13.5,24.0
AZ,2024-06-01,Normal,0.73,1.0,66,38.6,10.5,25.3
AZ,2024-07-01,Normal,0.63,1.0,44,49.2,10.1,30.3
AZ,2024-08-01,Normal,1.18,1.0,77,51.8,18.0,36.1
AZ,2024-09-01,Normal,0.62,1.0,61,37.9,27.7,33.4
AZ,2024-10-01,Normal,1.01,1.0,59,39.9,26.4,34.2
AZ,2024-11-01,Normal,1.19,1.0,62,37.4,28.2,34.0
AZ,2024-12-01,Pre_Christmas,1.34,1.93,28,65.7,20.7,45.8
AZ,2025-01-01,Post_Christmas,1.3,1.0,24,35.5,19.0,28.6
AZ,2025-02-01,Normal,1.22,1.0,18,43.4,17.7,31.8
AZ,2025-03-01,Normal,1.24,1.0,19,35.7,10.9,24.5
AZ,2025-04-01,Normal,0.63,1.0,65,34.7,28.2,32.1
AZ,2025-05-01,Normal,0.62,1.0,55,32.9,19.9,27.0
AZ,2025-06-01,Normal,1.43,1.0,29,49.2,19.1,35.6
AZ,2025-07-01,Normal,0.9,1.0,61,48.4,20.3,35.2
AZ,2025-08-01,Normal,0.8,1.0,58,49.5,25.9,38.5
AZ,2025-09-01,Normal,0.99,1.0,67,53.2,14.5,34.8
AR,2020-01-01,Post_Christmas,1.16,1.0,73,39.8,24.2,33.2
AR,2020-02-01,Normal,1.46,1.0,71,57.6,24.2,42.4
AR,2020-03-01,Normal,0.79,1.0,22,52.0,27.0,40.3
AR,2020-04-01,Normal,1.42,1.0,63,54.1,10.2,33.6
AR,2020-05-01,Normal,0.52,1.0,37,51.6,13.4,33.0
AR,2020-06-01,Normal,1.06,1.0,38,40.8,19.4,31.2
AR,2020-07-01,Normal,1.13,1.0,55,38.5,27.0,33.9
AR,2020-08-01,Normal,0.61,1.0,52,42.7,29.3,36.6
AR,2020-09-01,Normal,0.64,1.0,39,32.9,21.9,28.0
AR,2020-10-01,Normal,0.92,1.0,79,43.5,14.2,29.8
AR,2020-11-01,Normal,1.47,1.0,22,31.3,13.7,24.0
AR,2020-12-01,Pre_Christmas,1.52,1.92,21,35.9,22.8,32.3
AR,2021-01-01,Post_Christmas,1.3,1.0,12,50.7,14.2,33.8
AR,2021-02-01,Normal,0.97,1.0,40,46.9,21.1,35.0
AR,2021-03-01,Normal,1.28,1.0,55,40.2,26.7,34.7
AR,2021-04-01,Normal,0.52,1.0,40,47.1,17.8,33.0
AR,2021-05-01,Normal,0.61,1.0,50,56.7,17.6,37.8
AR,2021-06-01,Normal,1.33,1.0,14,49.6,10.7,31.5
AR,2021-07-01,Normal,1.3,1.0,20,48.1,15.1,32.9
AR,2021-08-01,Normal,0.73,1.0,75,43.8,24.0,34.6
AR,2021-09-01,Normal,1.03,1.0,41,40.4,17.2,29.8
AR,2021-10-01,Normal,1.11,1.0,21,51.0,13.2,33.2
AR,2021-11-01,Normal,1.37,1.0,35,59.4,12.1,37.1
AR,2021-12-01,Pre_Christmas,1.41,1.87,46,48.7,11.9,32.9
AR,2022-01-01,Post_Christmas,0.87,1.0,29,42.8,23.2,33.9
AR,2022-02-01,Normal,0.93,1.0,17,42.8,22.3,33.5
AR,2022-03-01,Normal,1.15,1.0,31,59.7,20.4,41.2
AR,2022-04-01,Normal,1.37,1.0,42,51.2,20.0,37.0
AR,2022-05-01,Normal,0.95,1.0,47,40.8,13.1,27.9
AR,2022-06-01,Normal,0.75,1.0,71,41.1,20.0,31.3
AR,2022-07-01,Normal,0.74,1.0,74,42.9,11.2,27.8
AR,2022-08-01,Normal,1.25,1.0,30,31.1,28.5,31.1
AR,2022-09-01,Normal,1.32,1.0,47,45.8,11.2,29.8
AR,2022-10-01,Normal,0.61,1.0,11,54.3,18.5,37.0
AR,2022-11-01,Normal,0.57,1.0,53,49.8,10.0,30.5
AR,2022-12-01,Pre_Christmas,1.35,1.9,25,42.2,25.7,36.5
AR,2023-01-01,Post_Christmas,1.32,1.0,15,51.6,13.3,33.8
AR,2023-02-01,Normal,0.81,1.0,43,37.9,28.5,34.0
AR,2023-03-01,Normal,0.64,1.0,17,48.7,10.9,30.4
AR,2023-04-01,Normal,1.42,1.0,62,48.3,26.4,38.8
AR,2023-05-01,Normal,0.67,1.0,63,55.2,23.1,39.8
AR,2023-06-01,Normal,0.78,1.0,50,34.1,15.0,25.3
AR,2023-07-01,Normal,0.65,1.0,68,35.8,14.0,25.5
AR,2023-08-01,Normal,0.62,1.0,40,44.6,17.2,31.5
AR,2023-09-01,Normal,0.52,1.0,23,31.3,26.6,29.5
AR,2023-10-01,Normal,0.56,1.0,20,42.5,27.2,35.4
AR,2023-11-01,Normal,0.67,1.0,25,53.6,13.5,34.2
AR,2023-12-01,Pre_Christmas,0.73,1.97,33,39.5,17.1,29.7
AR,2024-01-01,Post_Christmas,1.18,1.0,32,59.7,14.7,38.4
AR,2024-02-01,Normal,0.89,1.0,20,45.2,12.5,29.7
AR,2024-03-01,Normal,0.82,1.0,53,44.9,22.9,34.7
AR,2024-04-01,Normal,1.0,1.0,33,46.8,16.9,32.8
AR,2024-05-01,Normal,1.38,1.0,58,35.6,14.5,26.4
AR,2024-06-01,Normal,1.35,1.0,45,34.4,27.3,32.2
AR,2024-07-01,Normal,0.54,1.0,73,50.3,25.0,38.2
AR,2024-08-01,Normal,0.68,1.0,40,41.9,25.5,34.4
AR,2024-09-01,Normal,0.74,1.0,30,38.7,10.8,25.5
AR,2024-10-01,Normal,0.75,1.0,51,30.9,28.3,30.4
AR,2024-11-01,Normal,1.07,1.0,56,55.4,21.5,39.5
AR,2024-12-01,Pre_Christmas,1.11,1.74,51,36.4,20.1,30.2
AR,2025-01-01,Post_Christmas,0.87,1.0,49,41.5,10.2,26.7
AR,2025-02-01,Normal,1.02,1.0,31,48.0,28.0,39.0
AR,2025-03-01,Normal,0.6,1.0,73,37.4,20.9,29.8
AR,2025-04-01,Normal,1.33,1.0,57,34.7,26.5,31.9
AR,2025-05-01,Normal,0.55,1.0,16,46.0,23.1,35.1
AR,2025-06-01,Normal,1.42,1.0,77,50.9,25.9,39.8
AR,2025-07-01,Normal,0.6,1.0,59,35.9,23.9,30.5
AR,2025-08-01,Normal,1.34,1.0,13,43.1,28.4,37.1
AR,2025-09-01,Normal,1.4,1.0,60,43.3,14.5,30.3
CA,2020-01-01,Post_Christmas,2.96,1.0,138,66.5,26.1,49.3
CA,2020-02-01,Normal,2.6,1.0,187,77.0,41.4,61.8
CA,2020-03-01,Normal,2.56,1.0,123,64.4,35.0,52.3
CA,2020-04-01,Normal,2.28,1.0,127,75.3,38.0,58.9
CA,2020-05-01,Normal,2.56,1.0,97,63.4,41.3,54.9
CA,2020-06-01,Normal,1.27,1.0,98,74.6,36.4,56.8
CA,2020-07-01,Normal,2.07,1.0,142,69.3,43.6,58.5
CA,2020-08-01,Normal,2.03,1.0,174,73.6,29.6,53.6
CA,2020-09-01,Normal,2.72,1.0,183,73.0,45.8,62.1
CA,2020-10-01,Normal,1.93,1.0,165,87.2,23.2,57.1
CA,2020-11-01,Normal,1.77,1.0,141,74.7,39.0,58.6
CA,2020-12-01,Pre_Christmas,2.92,2.64,178,94.9,46.7,78.5
CA,2021-01-01,Post_Christmas,1.28,1.0,97,70.6,27.6,50.4
CA,2021-02-01,Normal,1.96,1.0,90,62.3,29.8,48.0
CA,2021-03-01,Normal,1.83,1.0,180,72.6,29.2,52.7
CA,2021-04-01,Normal,1.47,1.0,138,80.1,36.9,60.0
CA,2021-05-01,Normal,1.74,1.0,103,85.1,32.4,60.5
CA,2021-06-01,Normal,1.73,1.0,179,77.0,23.2,51.8
CA,2021-07-01,Normal,1.65,1.0,194,79.2,46.7,64.6
CA,2021-08-01,Normal,1.76,1.0,97,65.3,26.1,47.5
CA,2021-09-01,Normal,2.37,1.0,128,61.1,36.0,50.9
CA,2021-10-01,Normal,1.59,1.0,122,83.8,37.8,62.4
CA,2021-11-01,Normal,2.9,1.0,155,65.0,21.2,46.0
CA,2021-12-01,Pre_Christmas,3.5,2.51,200,74.9,22.9,57.7
CA,2022-01-01,Post_Christmas,1.66,1.0,139,88.9,49.2,70.7
CA,2022-02-01,Normal,2.07,1.0,183,78.5,39.9,61.3
CA,2022-03-01,Normal,2.7,1.0,110,71.4,21.0,48.9
CA,2022-04-01,Normal,2.31,1.0,107,85.0,43.8,66.7
CA,2022-05-01,Normal,2.61,1.0,113,66.1,35.3,53.3
CA,2022-06-01,Normal,2.07,1.0,199,72.9,22.3,49.7
CA,2022-07-01,Normal,2.27,1.0,141,70.7,40.4,57.8
CA,2022-08-01,Normal,1.58,1.0,72,87.4,35.0,62.8
CA,2022-09-01,Normal,2.47,1.0,56,87.6,26.1,59.3
CA,2022-10-01,Normal,1.4,1.0,127,79.5,46.3,64.3
CA,2022-11-01,Normal,2.39,1.0,170,63.3,28.7,48.4
CA,2022-12-01,Pre_Christmas,3.37,2.85,174,83.7,28.5,65.7
CA,2023-01-01,Post_Christmas,2.23,1.0,127,86.5,28.2,59.6
CA,2023-02-01,Normal,1.19,1.0,186,64.2,43.0,54.8
CA,2023-03-01,Normal,2.45,1.0,145,61.6,41.2,53.9
CA,2023-04-01,Normal,1.17,1.0,159,81.1,47.1,65.3
CA,2023-05-01,Normal,2.87,1.0,167,73.6,26.9,53.1
CA,2023-06-01,Normal,1.27,1.0,144,85.2,43.6,65.7
CA,2023-07-01,Normal,2.92,1.0,57,62.2,37.2,52.6
CA,2023-08-01,Normal,2.6,1.0,114,84.0,29.3,59.2
CA,2023-09-01,Normal,2.19,1.0,71,61.1,21.1,43.3
CA,2023-10-01,Normal,2.57,1.0,126,60.8,44.6,55.3
CA,2023-11-01,Normal,2.59,1.0,71,73.8,27.2,53.1
CA,2023-12-01,Pre_Christmas,3.5,2.43,151,77.3,39.0,66.7
CA,2024-01-01,Post_Christmas,2.18,1.0,68,60.8,36.5,50.8
CA,2024-02-01,Normal,1.19,1.0,125,61.1,20.1,41.8
CA,2024-03-01,Normal,2.23,1.0,61,81.8,49.8,68.0
CA,2024-04-01,Normal,1.34,1.0,178,66.3,44.4,56.7
CA,2024-05-01,Normal,2.13,1.0,163,79.7,34.6,59.3
CA,2024-06-01,Normal,2.14,1.0,156,82.5,40.4,63.6
CA,2024-07-01,Normal,1.93,1.0,75,61.8,34.3,50.0
CA,2024-08-01,Normal,2.05,1.0,169,83.1,42.3,64.8
CA,2024-09-01,Normal,2.53,1.0,145,68.1,24.0,48.6
CA,2024-10-01,Normal,2.6,1.0,108,71.7,33.4,55.2
CA,2024-11-01,Normal,1.98,1.0,50,62.6,30.1,48.3
CA,2024-12-01,Pre_Christmas,3.25,2.82,156,98.4,33.8,75.3
CA,2025-01-01,Post_Christmas,1.24,1.0,57,75.1,33.5,55.5
CA,2025-02-01,Normal,1.23,1.0,107,89.1,24.3,57.9
CA,2025-03-01,Normal,1.18,1.0,126,70.0,49.3,60.8
CA,2025-04-01,Normal,2.32,1.0,121,86.7,20.5,55.9
CA,2025-05-01,Normal,1.84,1.0,113,81.6,20.3,52.8
CA,2025-06-01,Normal,2.55,1.0,88,87.9,31.2,62.1
CA,2025-07-01,Normal,2.34,1.0,58,87.2,38.6,65.2
CA,2025-08-01,Normal,1.67,1.0,54,89.7,25.4,59.2
CA,2025-09-01,Normal,2.8,1.0,64,64.0,36.0,52.8
CO,2020-01-01,Post_Christmas,1.26,1.0,58,53.9,51.7,54.1
CO,2020-02-01,Normal,0.77,1.0,65,54.1,32.8,44.2
CO,2020-03-01,Normal,0.86,1.0,40,49.3,59.5,55.3
CO,2020-04-01,Normal,0.81,1.0,15,38.4,40.1,40.1
CO,2020-05-01,Normal,0.66,1.0,39,59.0,49.3,54.8
CO,2020-06-01,Normal,0.65,1.0,78,36.1,33.3,35.3
CO,2020-07-01,Normal,1.44,1.0,27,45.0,51.3,49.6
CO,2020-08-01,Normal,0.94,1.0,44,45.6,55.2,51.3
CO,2020-09-01,Normal,0.88,1.0,47,34.9,33.2,34.9
CO,2020-10-01,Normal,1.23,1.0,33,51.7,33.8,44.0
CO,2020-11-01,Normal,1.05,1.0,40,32.7,38.4,36.6
CO,2020-12-01,Pre_Christmas,1.95,1.9,59,60.2,30.4,49.0
CO,2021-01-01,Post_Christmas,0.98,1.0,43,40.5,59.6,51.0
CO,2021-02-01,Normal,0.88,1.0,13,51.3,48.0,50.5
CO,2021-03-01,Normal,1.49,1.0,10,34.7,48.2,42.9
CO,2021-04-01,Normal,1.22,1.0,38,55.4,58.8,58.3
CO,2021-05-01,Normal,1.45,1.0,73,58.6,55.0,58.2
CO,2021-06-01,Normal,0.62,1.0,12,34.6,54.4,45.1
CO,2021-07-01,Normal,1.35,1.0,14,50.8,40.2,46.9
CO,2021-08-01,Normal,1.14,1.0,57,45.2,40.0,43.7
CO,2021-09-01,Normal,0.62,1.0,41,45.9,38.8,43.0
CO,2021-10-01,Normal,1.09,1.0,26,51.2,40.4,46.9
CO,2021-11-01,Normal,1.19,1.0,24,44.7,41.1,44.1
CO,2021-12-01,Pre_Christmas,0.66,1.98,71,53.9,34.2,45.4
CO,2022-01-01,Post_Christmas,1.33,1.0,46,41.4,40.7,42.4
CO,2022-02-01,Normal,0.8,1.0,46,56.0,43.4,50.5
CO,2022-03-01,Normal,0.96,1.0,70,33.3,39.3,37.3
CO,2022-04-01,Normal,0.94,1.0,32,47.9,35.0,42.4
CO,2022-05-01,Normal,0.8,1.0,37,35.5,41.2,39.2
CO,2022-06-01,Normal,1.42,1.0,21,55.4,44.4,51.3
